Name,RIC,Exchange,TRBC Sector,Type of Equity,Currency,ISIN,CUSIP/CINS,SEDOL,GICS Sector,Market_Cap_(USD),Country_of_Issuer,ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,Controversies_Score,Estimated_CO2_Equivalents_Emission,Number_of_Employees,ROE,Operating_Margin,EPS_Growth_5_Years,DPS_Growth_5_Years,PE,Dividend_Yield,Debt_to_Equity,Current_Ratio,Volatility_200_Days,%_Price_Change_Relative_52W_High,%_Price_Change_Relative_52W_Low
Diageo PLC,DGE.L,London Stock Exchange,Distillers & Wineries (NEC),Ordinary Share,British Penny,GB0002374006,G42089113,0237400,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Distillers & Vintners","85,525,499,769",United Kingdom,79.36,78.93,95.15,50.83,50.00,"712,260.00","28,558",47.74,30.70,6.26,4.14,18.78,2.59,3.37,1.63,16.80,20.28,3.26
Glencore PLC,GLEN.L,London Stock Exchange,Diversified Mining,Ordinary Share,British Penny,JE00B4T3BW64,G39420107,B4T3BW6,"Materials, Metals & Mining, Diversified Metals & Mining","70,592,166,749",Switzerland,90.87,88.41,94.74,88.05,4.02,"27,041.00","81,284",35.05,9.63,28.83,19.20,7.75,7.45,1.77,1.29,33.62,19.07,15.11
Compass Group PLC,CPG.L,London Stock Exchange,Restaurants & Bars (NEC),Ordinary Share,British Penny,GB00BD6K4575,G23296208,BD6K457,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Restaurants","43,441,834,474",United Kingdom,75.75,71.53,82.14,69.98,79.66,"146,807.00","513,707",18.95,5.91,-2.57,-1.49,28.55,1.80,2.19,0.95,15.30,8.31,16.84
London Stock Exchange Group PLC,LSEG.L,London Stock Exchange,Financial & Commodity Market Operators & Service Providers (NEC),Ordinary Share,British Penny,GB00B0SWJX34,G5689U103,B0SWJX3,"Financials, Diversified Financials, Capital Markets, Financial Exchanges & Data","54,905,396,957",United Kingdom,71.20,61.86,84.44,62.82,100.00,"71,283.00","23,261",5.01,21.99,-1.59,15.70,68.40,1.34,31.04,1.00,14.63,6.35,17.10
Relx PLC,REL.L,London Stock Exchange,Professional Information Services (NEC),Ordinary Share,British Penny,GB00B2B0DG97,G7493L105,B2B0DG9,"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services","67,437,157,617",United Kingdom,84.75,82.22,83.25,88.42,74.58,"42,481.00","33,500",43.27,27.17,0.87,6.74,31.70,1.92,3.20,0.59,16.90,0.46,36.77
British American Tobacco plc,BATS.L,London Stock Exchange,Tobacco (NEC),Ordinary Share,British Penny,GB0002875804,G1510J102,0287580,"Consumer Staples, Food, Beverage & Tobacco, Tobacco","69,797,707,536",United Kingdom,86.82,74.69,94.13,87.53,19.74,"664,000.00","51,809",8.84,40.99,-30.69,-2.37,6.51,8.96,1.03,0.86,18.62,26.86,3.42
GSK plc,GSK.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,British Penny,GB00BN7SWP63,G3910J179,BN7SWP6,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","76,537,669,892",United Kingdom,92.36,84.94,97.17,90.61,32.39,"891,095.00","90,096",141.12,23.74,23.07,-9.34,11.39,3.65,4.72,0.91,17.16,5.44,16.80
National Grid PLC,NG.L,London Stock Exchange,Multiline Utilities,Ordinary Share,British Penny,GB00BDR05C01,G6S9A7120,BDR05C0,"Utilities, Multi-Utilities","43,722,883,169",United Kingdom,72.98,59.40,75.03,94.50,12.50,"7,831,000.00","30,756",26.40,49.71,-6.26,3.84,13.02,5.75,2.14,1.00,17.71,21.49,14.30
Anglo American PLC,AAL.L,London Stock Exchange,Diversified Mining,Ordinary Share,British Penny,GB00B1XZS820,G03764134,B1XZS82,"Materials, Metals & Mining, Diversified Metals & Mining","37,292,752,308",United Kingdom,78.49,79.14,80.40,74.43,38.39,"13,300,000.00","62,000",16.50,31.08,10.41,16.25,16.69,4.46,1.22,1.90,35.63,38.65,16.27
Tesco PLC,TSCO.L,London Stock Exchange,Food Retail & Distribution (NEC),Ordinary Share,British Penny,GB00BLGZ9862,G8T67X102,BLGZ986,"Consumer Staples, Food & Staples Retailing, Food Retail","24,486,942,731",United Kingdom,83.04,71.07,86.85,86.56,16.13,"1,752,440.00","231,223",6.09,3.99,-7.95,23.46,14.26,3.89,2.75,0.70,17.63,1.72,44.28
Reckitt Benckiser Group PLC,RKT.L,London Stock Exchange,Household Products (NEC),Ordinary Share,British Penny,GB00B24CGK77,G74079107,B24CGK7,"Consumer Staples, Household & Personal Products, Household Products","51,748,979,241",United Kingdom,85.69,85.26,93.06,71.78,35.71,"358,746.00","41,800",24.67,23.25,-7.43,2.21,18.91,3.18,2.04,0.63,15.21,10.65,6.69
Vodafone Group PLC,VOD.L,London Stock Exchange,Wireless Telecommunications Services (NEC),Ordinary Share,British Penny,GB00BH4HKS39,G93882192,BH4HKS3,"Communication Services, Telecommunication Services, Wireless Telecommunication Services","25,743,196,209",United Kingdom,86.42,79.30,84.74,95.26,29.81,"2,360,000.00","96,941",18.67,11.23,22.00,-10.11,2.04,10.11,1.44,0.89,26.19,28.34,10.99
BAE Systems PLC,BAES.L,London Stock Exchange,Aerospace & Defense (NEC),Ordinary Share,British Penny,GB0002634946,G06940103,0263494,"Industrials, Capital Goods, Aerospace & Defense","38,895,060,924",United Kingdom,69.58,78.11,59.88,76.48,48.44,"394,271.00","90,500",14.19,10.81,14.47,4.37,16.43,2.70,1.79,1.08,19.60,2.25,48.25
Dechra Pharmaceuticals PLC,DPH.L,London Stock Exchange,Veterinary Drugs,Ordinary Share,British Penny,GB0009633180,G2769C145,0963318,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","5,302,656,238",United Kingdom,58.13,58.85,59.24,55.93,100.00,"11,605.00","2,036",8.73,14.89,13.85,15.93,104.91,1.20,0.94,2.80,43.45,5.25,53.24
Imperial Brands PLC,IMB.L,London Stock Exchange,Tobacco (NEC),Ordinary Share,British Penny,GB0004544929,G4720C107,0454492,"Consumer Staples, Food, Beverage & Tobacco, Tobacco","18,998,700,086",United Kingdom,83.19,88.59,74.26,92.68,74.34,"222,243.00","25,700",22.89,10.18,2.37,-3.73,9.69,8.23,3.42,0.80,18.74,21.14,10.91
Ashtead Group PLC,AHT.L,London Stock Exchange,Industrial Equipment Rental,Ordinary Share,British Penny,GB0000536739,G05320109,0053673,"Industrials, Capital Goods, Trading Companies & Distributors","27,071,683,015",United Kingdom,52.06,35.77,53.00,62.24,74.58,"329,820.00","21,752",26.93,31.27,-3.51,19.19,16.95,1.58,2.12,1.01,28.24,16.30,26.78
Whitbread PLC,WTB.L,London Stock Exchange,Hotels & Motels,Ordinary Share,British Penny,GB00B1KJJ408,G9606P197,B1KJJ40,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Hotels, Resorts & Cruise Lines","7,910,423,088",United Kingdom,77.40,74.62,82.67,71.97,100.00,"137,384.00","34,328",6.78,20.49,-3.13,-3.11,24.14,2.23,1.42,1.57,22.31,10.16,42.21
3i Group PLC,III.L,London Stock Exchange,Investment Management & Fund Operators (NEC),Ordinary Share,British Penny,GB00B1YW4409,G88473148,B1YW440,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","24,560,777,032",United Kingdom,77.60,84.58,62.45,88.30,100.00,488.80,234,27.15,95.77,25.64,12.05,4.32,2.58,0.06,2.34,22.99,2.52,96.65
Rentokil Initial PLC,RTO.L,London Stock Exchange,Pest Control Services,Ordinary Share,British Penny,GB00B082RF11,G7494G105,B082RF1,"Industrials, Commercial & Professional Services, Commercial Services & Supplies, Environmental & Facilities Services","18,711,401,221",United Kingdom,80.19,74.37,87.07,75.47,100.00,"216,757.00","46,000",5.66,13.44,-20.83,14.24,48.76,1.31,1.91,1.14,22.10,9.04,28.93
Severn Trent PLC,SVT.L,London Stock Exchange,Water & Related Utilities (NEC),Ordinary Share,British Penny,GB00B1FH8J72,G8056D159,B1FH8J7,"Utilities, Water Utilities","8,784,083,791",United Kingdom,73.80,65.62,83.16,76.42,33.33,"577,803.00","7,118",13.62,23.40,-12.34,4.30,45.39,4.47,11.52,0.76,20.53,20.27,10.32
Next PLC,NXT.L,London Stock Exchange,Apparel & Accessories Retailers (NEC),Ordinary Share,British Penny,GB0032089863,G6500M106,3208986,"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Broadline Retail","10,960,052,936",United Kingdom,77.28,83.44,71.30,80.84,100.00,"86,488.00","26,836",61.33,18.70,6.59,5.45,12.21,2.93,2.43,2.04,23.75,5.68,63.40
Experian PLC,EXPN.L,London Stock Exchange,Financial Information Providers,Ordinary Share,British Penny,GB00B19NLV48,G32655105,B19NLV4,"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services","31,424,400,862",Ireland,71.90,50.70,81.08,74.99,40.35,"23,600.00","20,394",19.60,23.51,0.35,5.39,40.70,1.57,1.76,0.78,20.74,11.99,9.62
Burberry Group PLC,BRBY.L,London Stock Exchange,Apparel & Accessories Retailers (NEC),Ordinary Share,British Penny,GB0031743007,G1700D105,3174300,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Apparel, Accessories & Luxury Goods","8,249,424,526",United Kingdom,80.72,88.54,70.13,88.59,37.80,"27,701.00","9,293",31.96,20.49,12.99,8.11,14.41,3.32,1.40,2.25,27.03,30.89,2.48
Halma PLC,HLMA.L,London Stock Exchange,Electronic Equipment & Parts (NEC),Ordinary Share,British Penny,GB0004052071,G42504103,0405207,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments","8,954,770,374",United Kingdom,63.30,50.66,57.21,86.35,100.00,"11,660.00","7,779",14.67,17.78,8.80,6.59,30.96,1.05,0.74,2.62,21.77,23.84,2.67
Associated British Foods PLC,ABF.L,London Stock Exchange,Food Processing (NEC),Ordinary Share,British Penny,GB0006731235,G05600138,0673123,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats","18,727,697,271",United Kingdom,76.08,93.86,73.34,61.27,72.88,"3,161,000.00","132,273",6.11,8.10,-10.19,1.28,20.87,2.22,0.72,1.93,20.77,8.21,60.08
BT Group PLC,BT.L,London Stock Exchange,Integrated Telecommunications Services (NEC),Ordinary Share,British Penny,GB0030913577,G16612106,3091357,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services","14,444,658,115",United Kingdom,68.47,83.69,64.29,65.20,10.38,"180,934.00","98,400",13.13,15.41,-1.10,-12.94,6.08,6.51,2.63,0.91,29.16,28.55,6.97
Croda International PLC,CRDA.L,London Stock Exchange,Specialty Chemicals (NEC),Ordinary Share,British Penny,GB00BJFFLV09,G25536155,BJFFLV0,"Materials, Chemicals, Specialty Chemicals","7,880,645,934",United Kingdom,81.42,83.08,83.68,74.63,100.00,"167,781.00","6,135",26.88,23.01,19.68,5.41,33.04,2.35,0.49,2.38,30.87,36.81,8.55
Sage Group PLC,SGE.L,London Stock Exchange,Enterprise Software,Ordinary Share,British Penny,GB00B8C3BL03,G7771K142,B8C3BL0,"Information Technology, Software & Services, Software, Application Software","12,549,656,176",United Kingdom,58.82,46.74,69.56,53.19,100.00,"4,303.40","11,228",18.61,17.10,1.37,3.60,48.77,1.87,1.79,0.67,16.29,5.71,49.46
Smith & Nephew PLC,SN.L,London Stock Exchange,Medical Devices & Implants,Ordinary Share,British Penny,GB0009223206,G82343164,0922320,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment","10,523,647,089",United Kingdom,79.53,43.92,86.19,87.38,100.00,"73,985.00","18,369",4.24,13.60,-20.49,4.11,49.90,3.07,0.90,2.25,19.72,25.51,2.96
JD Sports Fashion PLC,JD.L,London Stock Exchange,Sports & Outdoors Retailers,Ordinary Share,British Penny,GB00BM8Q5M07,G5144Y120,BM8Q5M0,"Consumer Discretionary, Retailing, Specialty Retail, Specialty Stores","9,178,725,681",United Kingdom,47.94,66.28,45.57,41.41,8.33,"50,909.00","44,488",6.72,7.55,23.69,19.67,37.58,0.67,2.54,1.59,37.75,32.36,63.06
Pearson PLC,PSON.L,London Stock Exchange,Consumer Publishing (NEC),Ordinary Share,British Penny,GB0006776081,G69651100,0677608,"Consumer Discretionary, Consumer Services, Diversified Consumer Services, Education Services","7,861,212,732",United Kingdom,88.83,79.81,87.81,93.19,100.00,"33,656.00","20,744",5.50,7.63,-8.05,4.81,21.68,2.44,0.66,1.89,28.26,10.82,19.75
Mondi PLC,MNDI.L,London Stock Exchange,Paper Packaging (NEC),Ordinary Share,British Penny,GB00B1CRLC47,G6258S107,B1CRLC4,"Materials, Paper & Forest Products, Paper Products","8,294,371,694",United Kingdom,83.64,91.69,88.79,62.56,100.00,"3,654,530.00","21,200",25.06,16.21,12.36,-1.15,10.13,4.50,0.79,2.93,23.12,13.31,18.48
Bunzl plc,BNZL.L,London Stock Exchange,Diversified Industrial Goods Wholesale,Ordinary Share,British Penny,GB00B0744B38,G16968110,B0744B3,"Industrials, Capital Goods, Trading Companies & Distributors","12,485,105,559",United Kingdom,51.27,28.75,55.71,66.09,100.00,"112,168.00","21,021",17.44,6.29,172.18,6.39,20.54,2.12,2.19,1.40,15.42,6.80,15.52
Barratt Developments P L C,BDEV.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB0000811801,G08288105,0081180,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","5,173,441,048",United Kingdom,78.52,87.96,73.46,74.17,100.00,"28,036.00","6,837",9.48,16.22,-4.36,4.92,8.18,7.80,0.43,4.62,28.71,16.10,38.05
J Sainsbury PLC,SBRY.L,London Stock Exchange,Supermarkets & Convenience Stores,Ordinary Share,British Penny,GB00B019KW72,G77732173,B019KW7,"Consumer Staples, Food & Staples Retailing, Food Retail","7,482,205,000",United Kingdom,79.74,91.60,73.55,80.12,22.73,"855,189.00","117,000",2.85,3.33,-7.51,5.13,28.58,5.09,2.61,0.68,21.51,11.62,51.25
Auto Trader Group PLC,AUTOA.L,London Stock Exchange,Online Services (NEC),Ordinary Share,British Penny,GB00BVYVFW23,G06708104,BVYVFW2,"Communication Services, Media & Entertainment, Interactive Media & Services","7,207,677,538",United Kingdom,66.99,68.67,48.82,82.14,100.00,674.00,960,44.36,55.92,7.11,7.32,25.61,1.31,0.26,1.62,20.89,3.44,33.56
Spirax-Sarco Engineering PLC,SPX.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB00BWFGQN14,G83561129,BWFGQN1,"Industrials, Capital Goods, Machinery, Industrial Machinery","8,055,538,807",United Kingdom,56.47,60.99,51.96,56.97,100.00,"36,607.00","8,202",19.22,22.03,7.31,11.68,31.07,1.75,1.38,1.65,23.56,28.03,0.63
United Utilities Group PLC,UU.L,London Stock Exchange,Water & Related Utilities (NEC),Ordinary Share,British Penny,GB00B39J2M42,G92755100,B39J2M4,"Utilities, Water Utilities","8,043,594,646",United Kingdom,73.28,84.36,70.08,58.30,75.00,"260,734.00","5,728",8.17,26.70,-10.42,2.75,31.92,4.74,4.79,1.20,20.83,13.57,18.08
Taylor Wimpey PLC,TW.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB0008782301,G86954107,0878230,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","5,088,266,951",United Kingdom,76.12,59.91,79.41,92.03,66.67,"20,254.00","5,358",14.30,20.53,1.26,14.68,7.39,8.16,0.44,4.71,27.32,11.22,45.40
Kingfisher PLC,KGF.L,London Stock Exchange,Home Improvement Products & Services Retailers (NEC),Ordinary Share,British Penny,GB0033195214,G5256E441,3319521,"Consumer Discretionary, Retailing, Specialty Retail, Home Improvement Retail","5,073,975,537",United Kingdom,68.19,77.61,67.61,64.12,100.00,"258,189.00","82,000",7.07,6.66,1.49,2.76,12.49,5.69,0.82,1.30,29.11,26.48,9.67
Smiths Group PLC,SMIN.L,London Stock Exchange,Consumer Goods Conglomerates,Ordinary Share,British Penny,GB00B1WY2338,G82401111,B1WY233,"Industrials, Capital Goods, Industrial Conglomerates","7,016,937,029",United Kingdom,57.69,37.12,65.11,75.79,100.00,"66,412.00","15,250",38.27,14.26,16.92,-1.36,25.75,2.53,0.93,1.73,15.93,9.05,11.46
B&M European Value Retail SA,BMEB.L,London Stock Exchange,Discount Stores (NEC),Ordinary Share,British Penny,LU1072616219,L1175H106,BMTRW10,"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Broadline Retail","7,066,094,095",Luxembourg,34.20,19.31,30.28,51.10,100.00,"101,334.00","38,301",48.33,10.80,13.35,15.19,16.50,2.55,3.98,1.29,25.97,3.21,104.40
Berkeley Group Holdings PLC,BKGH.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB00BLJNXL82,G1191G138,BLJNXL8,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","5,402,810,663",United Kingdom,62.92,80.07,43.36,71.26,100.00,"7,832.00","2,911",13.98,20.32,-7.67,-5.05,9.68,3.11,1.06,3.43,23.12,9.12,31.40
Coca Cola HBC AG,CCH.L,London Stock Exchange,Non-Alcoholic Beverages (NEC),Ordinary Share,British Penny,CH0198251305,H1512E100,B9895B7,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","9,723,723,435",Switzerland,89.41,85.22,93.25,87.37,100.00,"621,850.00","26,787",12.66,10.03,-0.50,7.84,14.17,3.16,1.97,1.24,18.89,16.77,18.66
Rightmove PLC,RMV.L,London Stock Exchange,Online Services (NEC),Ordinary Share,British Penny,GB00BGDT3G23,G7565D106,BGDT3G2,"Communication Services, Media & Entertainment, Interactive Media & Services","5,799,816,506",United Kingdom,68.76,72.74,45.31,87.76,100.00,176.38,600,287.08,72.56,8.34,7.94,24.50,1.51,0.49,2.66,21.43,5.10,33.39
Spectris PLC,SXS.L,London Stock Exchange,Electronic Equipment & Parts (NEC),Ordinary Share,British Penny,GB0003308607,G8338K104,0330860,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments","4,176,026,297",United Kingdom,72.05,57.64,76.07,86.43,100.00,"22,700.10","7,788",27.94,13.00,-11.54,5.94,25.20,2.31,0.36,2.07,21.69,14.78,24.72
Antofagasta PLC,ANTO.L,London Stock Exchange,Copper Ore Mining,Ordinary Share,British Penny,GB0000456144,G0398N128,0045614,"Materials, Metals & Mining, Copper","17,500,755,524",United Kingdom,78.58,74.67,84.45,74.56,21.88,"2,166,020.00","5,983",17.77,29.31,17.45,5.16,11.29,3.45,0.76,3.25,33.97,21.36,37.16
ConvaTec Group PLC,CTEC.L,London Stock Exchange,"Medical Equipment, Supplies & Distribution (NEC)",Ordinary Share,British Penny,GB00BD3VFW73,G23969101,BD3VFW7,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Supplies","5,403,985,251",United Kingdom,73.67,46.69,85.83,70.26,100.00,"37,605.00","10,025",3.91,11.76,-15.77,4.06,79.74,2.35,1.23,1.67,21.00,19.87,9.40
Intertek Group PLC,ITRK.L,London Stock Exchange,Business Support Services (NEC),Ordinary Share,British Penny,GB0031638363,G4911B108,3163836,"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services","8,365,072,750",United Kingdom,79.09,67.14,85.22,79.61,27.97,"177,271.00","44,063",22.49,15.20,0.07,8.21,22.93,2.59,1.82,0.96,17.82,7.25,21.06
WPP PLC,WPP.L,London Stock Exchange,Advertising & Marketing (NEC),Ordinary Share,British Penny,JE00B8KF9B49,G9788D103,B8KF9B4,"Communication Services, Media & Entertainment, Media, Advertising","9,824,059,562",United Kingdom,81.78,66.24,80.39,88.80,100.00,"64,972.00","109,382",18.55,9.41,-15.46,-8.07,14.94,5.30,6.70,0.85,24.23,31.24,5.80
IG Group Holdings PLC,IGG.L,London Stock Exchange,Investment Banking & Brokerage Services (NEC),Ordinary Share,British Penny,GB00B06QFB75,G4753Q106,B06QFB7,"Financials, Diversified Financials, Capital Markets, Investment Banking & Brokerage","3,090,006,768",United Kingdom,61.78,14.95,63.11,74.71,100.00,"1,120.56","2,393",18.12,42.62,7.08,0.91,7.36,7.07,0.49,2.72,22.60,24.33,6.41
Howden Joinery Group PLC,HWDN.L,London Stock Exchange,Kitchen Cabinets,Ordinary Share,British Penny,GB0005576813,G4647J102,0557681,"Industrials, Capital Goods, Trading Companies & Distributors","4,778,980,498",United Kingdom,47.55,58.81,30.84,59.10,100.00,"55,224.00","11,000",42.93,17.90,17.09,13.16,11.51,2.92,1.33,1.75,26.22,7.51,50.02
Vistry Group PLC,VTYV.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB0001859296,G9424B107,0185929,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","3,421,310,379",United Kingdom,60.28,45.90,61.20,77.52,100.00,"17,685.00","3,143",6.29,13.39,6.96,4.35,11.34,6.83,0.85,2.53,36.65,16.66,60.46
Persimmon PLC,PSN.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB0006825383,G70202109,0682538,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","4,183,075,508",United Kingdom,67.61,72.05,62.07,70.52,50.00,"27,678.00","5,121",16.31,19.00,149.65,-23.89,10.28,4.69,0.46,4.17,38.72,30.37,11.86
Weir Group PLC,WEIR.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB0009465807,G95248137,0946580,"Industrials, Capital Goods, Machinery, Industrial Machinery","5,854,022,664",United Kingdom,76.20,73.40,77.67,77.64,100.00,"173,801.00","11,994",12.36,14.52,-0.43,-5.71,19.26,2.02,1.34,1.80,23.79,11.41,32.10
Hargreaves Lansdown PLC,HRGV.L,London Stock Exchange,Investment Management,Ordinary Share,British Penny,GB00B1VZ0M25,G43940108,B1VZ0M2,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","4,486,793,317",United Kingdom,56.31,28.23,46.81,72.76,33.33,"1,418.20","2,042",37.61,46.48,6.56,5.21,11.27,5.39,0.87,2.07,29.20,24.77,5.97
Tate & Lyle PLC,TATE.L,London Stock Exchange,Food Ingredients,Ordinary Share,British Penny,GB00BP92CJ43,G86838151,BP92CJ4,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats","3,323,361,824",United Kingdom,67.49,54.42,60.84,93.34,100.00,"514,554.00","4,591",15.98,12.85,-13.99,-11.19,21.48,2.75,1.11,2.24,18.30,19.58,3.94
DS Smith PLC,SMDS.L,London Stock Exchange,Paper Packaging (NEC),Ordinary Share,British Penny,GB0008220112,G2848Q123,0822011,"Materials, Containers & Packaging, Paper Packaging","4,802,462,308",United Kingdom,82.34,85.90,86.08,70.54,61.11,"2,909,340.00","29,856",12.29,9.10,10.94,4.62,7.94,6.34,1.31,0.83,24.41,23.11,11.03
Johnson Matthey PLC,JMAT.L,London Stock Exchange,Specialty Chemicals (NEC),Ordinary Share,British Penny,GB00BZ4BQC70,G51604166,BZ4BQC7,"Materials, Chemicals, Specialty Chemicals","3,558,632,134",United Kingdom,72.54,59.48,76.69,88.57,100.00,"438,148.00","14,421",10.87,3.14,-1.46,-0.76,10.54,4.88,1.77,1.51,25.82,33.77,3.20
WH Smith PLC,SMWH.L,London Stock Exchange,Book & Magazine Retailers,Ordinary Share,British Penny,GB00B2PDGW16,G8927V149,B2PDGW1,"Consumer Discretionary, Retailing, Specialty Retail, Specialty Stores","2,060,180,400",United Kingdom,85.23,70.46,95.97,80.69,37.80,"20,234.00","14,019",15.93,8.00,-19.11,-18.62,24.76,1.34,4.68,0.81,26.41,25.91,15.41
Diploma PLC,DPLM.L,London Stock Exchange,Industrial Machinery & Equipment Wholesale,Ordinary Share,British Penny,GB0001826634,G27664112,0182663,"Industrials, Capital Goods, Trading Companies & Distributors","4,857,510,479",United Kingdom,38.92,13.74,34.07,75.49,100.00,"10,615.00","2,909",14.31,14.69,12.62,18.53,31.13,1.87,1.07,1.63,24.03,11.84,32.76
RS Group PLC,RS1R.L,London Stock Exchange,Electronic Equipment & Parts (NEC),Ordinary Share,British Penny,GB0003096442,G29848101,0309644,"Industrials, Capital Goods, Trading Companies & Distributors","4,328,514,034",United Kingdom,65.22,53.87,69.93,74.88,100.00,"5,247.00","7,654",21.19,12.84,12.25,9.54,12.33,2.81,0.89,1.90,27.69,28.24,8.67
DCC PLC,DCC.L,London Stock Exchange,Consumer Goods Conglomerates,Ordinary Share,British Penny,IE0002424939,G2689P101,0242493,"Industrials, Capital Goods, Industrial Conglomerates","5,650,767,655",Ireland,56.78,59.98,45.55,70.37,100.00,"96,000.00","15,400",11.22,2.40,5.46,8.77,12.07,4.02,2.28,1.28,21.39,7.56,16.83
Rotork PLC,ROR.L,London Stock Exchange,Fluid Power Cylinder & Actuators,Ordinary Share,British Penny,GB00BVFNZH21,G76717134,BVFNZH2,"Industrials, Capital Goods, Machinery, Industrial Machinery","3,282,861,391",United Kingdom,63.72,65.16,53.37,75.58,100.00,"8,150.00","3,296",15.84,21.20,11.24,4.41,25.39,2.21,0.24,3.27,21.60,9.98,35.27
Spirent Communications plc,SPT.L,London Stock Exchange,Communications & Networking (NEC),Ordinary Share,British Penny,GB0004726096,G83562101,0472609,"Information Technology, Technology Hardware & Equipment, Communications Equipment","700,204,051",United Kingdom,70.54,76.18,47.66,89.97,100.00,"4,270.90","1,500",21.47,19.14,30.54,15.92,10.76,6.36,0.52,2.17,56.63,66.50,23.51
Johnson Service Group PLC,JSG.L,London Stock Exchange,Business Support Services (NEC),Ordinary Share,British Penny,GB0004762810,G51576125,0476281,"Industrials, Commercial & Professional Services, Commercial Services & Supplies, Diversified Support Services","706,199,655",United Kingdom,63.35,47.11,55.72,84.46,100.00,"80,182.00","4,980",10.19,8.82,-1.35,-2.24,17.66,1.83,0.52,0.80,30.52,3.12,76.26
Unite Group PLC,UTG.L,London Stock Exchange,Residential REITs,Ordinary Share,British Penny,GB0006928617,G9283N101,0692861,"Real Estate, Equity Real Estate Investment Trusts (REITs), Residential REITs, Multi-Family Residential REITs","4,884,519,212",United Kingdom,68.34,64.44,66.06,75.04,100.00,"44,793.00","1,797",9.36,94.14,-1.38,12.68,26.20,3.67,0.42,0.69,24.76,13.34,16.84
ITV PLC,ITV.L,London Stock Exchange,Broadcasting (NEC),Ordinary Share,British Penny,GB0033986497,G4984A110,3398649,"Communication Services, Media & Entertainment, Media, Broadcasting","3,435,687,538",United Kingdom,71.43,41.04,82.50,66.98,81.58,"7,346.00","6,315",23.49,15.67,0.96,-8.51,10.11,7.21,1.43,1.25,27.07,28.25,19.52
Greggs PLC,GRG.L,London Stock Exchange,Restaurants & Bars (NEC),Ordinary Share,British Penny,GB00B63QSB39,G41076111,B63QSB3,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Restaurants","3,045,048,059",United Kingdom,73.01,72.81,76.40,68.12,79.66,"87,529.00","22,883",26.97,10.21,15.93,12.81,18.24,2.48,1.18,1.16,24.40,16.82,40.93
Games Workshop Group PLC,GAW.L,London Stock Exchange,Toys & Children's Products (NEC),Ordinary Share,British Penny,GB0003718474,G3715N102,0371847,"Consumer Discretionary, Consumer Durables & Apparel, Leisure Products","4,087,985,341",United Kingdom,36.35,10.25,24.53,62.28,100.00,"5,663.00",941,57.29,36.15,17.32,22.05,24.67,2.32,0.39,3.61,25.78,14.68,74.46
